CSV,package,date,diff_commits,same_lines,right_files,added_lines,different_files,different_lines,same_files,removed_lines,common_files,common_lines,right_lines,left_files,normal_effort,diff_files,equal_lines,left_lines
CSV,acl:2.2.49-5,20110528T151647Z,71,6605,31,2075,116,3285,61,1892,61,14151,836,30,49,86,7546,1767
CSV,bash:4.3-3,20140319T221749Z,43,91640,86,148489,546,140989,640,105558,640,584690,27930,2,15,502,493050,1
CSV,bluez:5.5-1~exp0,20130525T160539Z,8825,13509,182,57658,456,82330,118,15408,118,204087,85510,22,2637,354,190578,6084
CSV,git:1:1.7.8.3-1~bpo60+1,20120201T224724Z,16842,57150,631,143233,1647,249455,852,78188,852,392653,263977,116,5142,1274,335503,13512
CSV,git:1:1.7.9-1+alpha,20120201T144722Z,16720,60977,582,142670,1587,246290,943,78120,943,401528,258728,104,5096,1244,340551,13063
CSV,openssl:1.0.1e-2+deb7u5,20140407T213614Z,7097,1391,510,253562,1810,411287,73,246301,73,169597,137593,721,3203,1195,168206,185118
CSV,openssl:1.0.1j-1+alpha,20150107T133541Z,7041,1391,507,253074,1812,412081,73,249387,73,171520,136158,721,3172,1198,170129,185544
CSV,git:1:1.8.0-1,20121102T092448Z,13539,93690,478,184010,1506,221502,1144,90795,1144,479959,151056,97,4068,1219,386269,17143
CSV,git:1:1.8.5.3-1,20140117T102821Z,8988,142112,340,147061,1358,180762,1400,83125,1400,562130,114666,84,2679,1146,420018,16673
CSV,git:1:2.5.0+next.20150817-1,20150820T033637Z,3921,224672,155,101233,980,102658,1899,63860,1899,689370,35577,52,1135,877,464698,4647
CSV,openssl:1.0.1e-2+deb7u6,20140408T134531Z,7097,1391,510,253562,1810,411287,73,246301,73,169597,137593,721,3203,1195,168206,185118
CSV,bash:4.3-1,20140304T040604Z,47,90276,87,148498,546,141678,639,105563,639,583317,29294,2,16,502,493041,1
CSV,bluez:4.69-1,20100806T210427Z,16624,2145,175,28177,232,72944,20,11552,20,43839,82479,93,5283,98,41694,23681
CSV,git:1:1.8.4.3-1,20131112T035901Z,9395,129712,366,157749,1398,189940,1338,86451,1338,547604,118484,88,2821,1171,417892,17197
CSV,git:1:2.0~next.20140123-1,20140128T040055Z,8844,147404,329,142685,1329,175752,1430,82829,1430,571819,109353,75,2639,1127,424415,16638
CSV,git:1:2.9.3-1,20160817T042105Z,420,455325,49,40273,445,39030,2505,27814,2505,784150,9866,1,101,420,328825,107
CSV,git:4.3.16-2,20090802T004153Z,41532,1151,1294,80338,980,215620,13,21563,13,22937,298461,143,14802,262,21786,30878
CSV,openssl:1.0.1e-2+deb7u7,20140417T215514Z,7097,1391,510,253562,1810,411287,73,246301,73,169597,137593,721,3203,1195,168206,185118
CSV,openssl:1.1.0a-1,20160922T223930Z,16,734098,4,515,29,433,6719,233,6719,777317,119,0,8,27,43219,0
CSV,bash:4.3-6,20140408T041430Z,36,91640,86,148400,546,140930,640,105530,640,584779,27930,2,14,502,493139,1
CSV,bluez:4.93-1,20110528T040112Z,15146,2347,156,34763,257,74206,21,14517,21,55503,71687,100,4662,129,53156,27446
CSV,git:1:1.7.1-1,20100426T223558Z,22421,31812,639,177285,1611,211252,496,90068,496,298217,136932,197,7019,1193,266405,18220
CSV,git:1:1.7.10.4-1+wheezy3,20160319T151142Z,15210,63260,552,195275,1579,242527,983,84502,983,423174,185706,96,4586,1255,359914,19571
CSV,git:1:1.7.6~rc2-1,20110623T212752Z,18822,52203,681,151475,1642,258251,792,80401,792,371441,273596,109,5758,1247,319238,11031
CSV,git:1:1.7.8~rc0-1,20111031T212614Z,17342,56045,642,144307,1656,250010,838,78544,838,391200,264356,116,5296,1277,335155,12813
CSV,git:1:1.8.5.2-2,20140110T220106Z,9039,141625,341,147198,1359,180854,1398,83144,1398,561966,114693,84,2697,1147,420341,16673
CSV,git:1:1.9.1-1~bpo70+1,20140408T041430Z,8241,148751,319,148934,1321,169275,1439,86776,1439,580460,94463,68,2427,1128,431709,8377
CSV,acl:2.2.49-1,20091124T155530Z,78,6597,34,2108,116,3341,60,1894,60,14064,890,30,53,84,7467,1791
CSV,bash:4.3-7,20140419T102640Z,36,91640,86,148400,546,140930,640,105530,640,584779,27930,2,14,502,493139,1
CSV,bluez:4.81-1,20101203T032652Z,15771,2145,165,36748,252,75902,20,14401,20,50306,74899,98,4937,121,48161,25757
CSV,git:1:1.7.10.4-1+wheezy2,20160105T205136Z,15210,63260,552,195275,1579,242527,983,84502,983,423174,185706,96,4586,1255,359914,19571
CSV,openssl:1.0.1e-2+deb7u1,20140101T121854Z,7097,1391,510,253562,1810,411287,73,246301,73,169597,137593,721,3203,1195,168206,185118
CSV,acl:2.2.49-2,20100203T101155Z,78,6597,34,2108,116,3341,60,1894,60,14064,890,30,53,84,7467,1791
CSV,bash:4.3-4,20140321T222019Z,37,91640,86,148402,546,140932,640,105531,640,584777,27930,2,14,502,493137,1
CSV,bluez:4.66-3~bpo50+1,20101228T013751Z,16720,2145,178,28891,229,73123,20,11372,20,42915,82689,91,5321,95,40770,23294
CSV,bluez:4.93-3,20110531T154943Z,15146,2347,156,34763,257,74206,21,14517,21,55503,71687,100,4662,129,53156,27446
CSV,git:1:1.7.10.4-1+wheezy1,20121124T104944Z,15210,63260,552,195275,1579,242527,983,84502,983,423174,185706,96,4586,1255,359914,19571
CSV,git:1:1.8.1.3-1,20130208T152838Z,12632,97957,453,177316,1493,216191,1174,89993,1174,490936,147087,98,3837,1218,392979,17987
CSV,git:1:1.8.4-1,20130825T034756Z,9825,129092,371,159486,1398,191510,1336,87508,1336,545542,118809,89,2966,1168,416450,17217
CSV,git:1:2.8.1+next.20160414-1,20160419T100008Z,1812,334277,68,58290,663,55424,2257,38577,2257,762140,11236,37,479,611,427863,2746
CSV,openssl:1.0.1e-2+deb7u19,20160108T152846Z,7097,1391,510,253562,1810,411287,73,246301,73,169597,137593,721,3203,1195,168206,185118
CSV,openssl:1.0.1e-2+deb7u2,20140107T155302Z,7097,1391,510,253562,1810,411287,73,246301,73,169597,137593,721,3203,1195,168206,185118
CSV,acl:2.2.49-3,20100608T170015Z,71,6605,31,2075,116,3285,61,1892,61,14151,836,30,49,86,7546,1767
CSV,bash:4.3-5,20140329T220141Z,36,91640,86,148400,546,140930,640,105530,640,584779,27930,2,14,502,493139,1
CSV,bluez:4.93-2,20110531T154943Z,15146,2347,156,34763,257,74206,21,14517,21,55503,71687,100,4662,129,53156,27446
CSV,git:1:1.7.1-1.1,20100727T151203Z,22421,31812,639,177285,1611,211252,496,90068,496,298217,136932,197,7019,1193,266405,18220
CSV,git:1:1.8.1-1,20130101T091755Z,13158,96732,463,178297,1502,217512,1162,90720,1162,489118,147918,101,3965,1220,392386,18090
CSV,git:1:1.8.5.2-1,20131218T034709Z,9039,141625,341,147198,1359,180854,1398,83144,1398,561966,114693,84,2697,1147,420341,16673
CSV,git:1:1.9.1-1~bpo70+2,20140409T045148Z,8241,148751,319,148934,1321,169275,1439,86776,1439,580460,94463,68,2427,1128,431709,8377
CSV,git:4.3.16-6,20090802T004153Z,41591,1151,1296,80326,979,215466,13,21370,13,22759,298651,142,14822,260,21608,30586
CSV,openssl:1.0.1e-2+deb7u18,20151204T074052Z,7097,1391,510,253562,1810,411287,73,246301,73,169597,137593,721,3203,1195,168206,185118
CSV,openssl:1.0.1e-2+deb7u3,20140107T155302Z,7097,1391,510,253562,1810,411287,73,246301,73,169597,137593,721,3203,1195,168206,185118
CSV,bash:2.01-0bo5.3,20090802T004153Z,114,1622,595,169333,721,212121,38,54334,38,86626,185217,109,43,369,85004,15359
CSV,bash:2.05b-2-26,20050312T000000Z,6,92091,85,147978,543,140697,642,105488,642,585202,27929,0,3,501,493111,0
CSV,git:1:1.7.2.3-2.2,20101216T144753Z,21470,32371,606,172847,1624,206164,508,90662,508,309233,131316,200,6647,1221,276862,17504
CSV,git:1:1.8.3-1,20130530T215242Z,10775,113105,406,159699,1436,200561,1257,85730,1257,517432,138758,95,3254,1186,404327,16936
CSV,openssl:1.0.2-1,20150123T220434Z,5195,4433,435,95776,1782,243216,163,117831,163,385743,98716,594,2203,1268,381310,174110
